Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,149.332504,149.829498,146.147507,146.302002,146.302002,30594000
2021-11-23,146.153000,146.660004,144.115005,145.781998,145.781998,27218000
2021-11-24,145.473495,146.249496,144.373001,146.119995,146.119995,18040000
2021-11-26,144.348495,144.557495,141.842499,142.182999,142.182999,30470000
2021-11-29,144.000000,146.297501,143.893494,145.530502,145.530502,32596000
2021-11-30,145.008499,146.000000,141.601501,141.897507,141.897507,42068000
2021-12-01,144.000000,145.950500,140.912003,141.051498,141.051498,34020000
2021-12-02,141.250000,143.864502,140.214493,142.966003,142.966003,29194000
2021-12-03,143.681000,144.399994,140.300995,142.001495,142.001495,41230000
2021-12-06,143.040497,143.852493,140.149994,143.154999,143.154999,30618000
2021-12-07,145.596497,147.531006,145.227493,147.269501,147.269501,32240000
2021-12-08,147.596497,148.393005,146.406006,148.186493,148.186493,24270000
2021-12-09,147.591003,149.100006,147.115005,147.638504,147.638504,23270000
2021-12-10,148.699997,148.977493,146.703995,148.001495,148.001495,24458000
2021-12-13,147.781494,147.970001,145.517502,145.826508,145.826508,27070000
2021-12-14,143.968002,144.479996,141.214996,143.906998,143.906998,38446000
2021-12-15,143.408997,146.720993,141.677994,146.440994,146.440994,36370000
2021-12-16,147.170502,147.677002,143.606995,144.445007,144.445007,33650000
2021-12-17,142.500000,143.834503,141.300003,141.725006,141.725006,50416000
